country,code,region,height_cm,gdp_per_capita_2023,protein_g_day_2023,meat_kg_year_2023,population_2023
Morocco,MAR,Africa,170.4,9063.82,98.09,32.79,37712516
Moldova,MDA,Europe,175.489,11371.89,77.92,33.9,3067072
Madagascar,MDG,Africa,161.548,1605.77,39.53,5.34,31195937
Maldives,MDV,Asia,167.684,18539.81,97.41,29.62,526009
Mexico,MEX,North America,169.011,20015.15,100.29,78.22,129739761
North Macedonia,MKD,Europe,178.331,22247.98,103.11,51.48,1831800
Malta,MLT,Europe,173.32,46795.16,105.84,71.76,532964
Myanmar,MMR,Asia,164.673,7321.16,78.39,20.88,54133800
Montenegro,MNE,Other,178.276,26334.92,134.43,96.86,633553
Mongolia,MNG,Asia,169.066,15172.21,132.13,136.14,3431938
Mozambique,MOZ,Africa,164.798,1542.87,44.69,10.35,33635163
Mauritania,MRT,Africa,163.281,5782.57,83.2,36.53,5022442
Mauritius,MUS,Africa,170.499,27779.89,104.96,64.55,1273591
Malawi,MWI,Africa,162.228,1747.66,65.67,28.23,21104480
Malaysia,MYS,Asia,167.885,30394.72,93.33,69.07,35126295
Namibia,NAM,Africa,166.964,9698.58,64.23,24.19,2963102
Niger,NER,Africa,167.676,1919.01,92.53,7.66,26159863
Nigeria,NGA,Africa,165.907,4710.54,57.03,7.11,227882949
Nicaragua,NIC,North America,166.706,7336.31,73.77,36.26,6823619
Netherlands,NLD,Europe,182.535,69837.59,117.08,71.58,18092526
Norway,NOR,Europe,179.745,98777.66,125.45,70.4,5519167
Nepal,NPL,Asia,162.318,5080.19,81.74,14.48,29694614
New Zealand,NZL,Oceania,177.736,47160.55,100.93,79.54,5172837
Oman,OMN,Asia,169.158,43672.06,85.62,37.59,5049267
Pakistan,PAK,Asia,166.948,5641.3,73.39,21.24,247504505
Panama,PAN,North America,168.49,36934.64,93.54,78.02,4458758
Peru,PER,South America,165.232,14338.36,88.55,55.44,33845616
Philippines,PHL,Asia,163.229,10109.9,77.49,33.64,114891199
Poland,POL,Europe,177.327,39206.39,117.73,83.31,38762847
Portugal,PRT,Europe,172.933,36633.04,126.35,99.32,10430735
Paraguay,PRY,South America,172.834,15006.74,66.47,26.94,6844150
Qatar,QAT,Other,170.476,116805.49,105.09,71.43,2979086
Romania,ROU,Europe,174.741,34604.56,112.42,72.45,19118482
Russia,RUS,Europe,176.461,39226.8,117.83,84.77,145440502
Rwanda,RWA,Africa,162.679,3137.95,57.05,6.43,13954473
Saudi Arabia,SAU,Asia,167.67,59042.31,103.8,58.08,33264289
Senegal,SEN,Africa,173.139,4112.19,71.66,20.01,18077573
Sierra Leone,SLE,Africa,164.406,2845.56,57.58,10.82,8460523
El Salvador,SLV,North America,169.771,11245.02,88.88,45.65,6309629
Serbia,SRB,Other,180.567,21939.78,135.58,84.2,6773204
Sao Tome and Principe,STP,Africa,167.385,6318.84,54.39,25.19,230882
Suriname,SUR,South America,172.722,16649.21,68.32,48.48,628892
Slovakia,SVK,Europe,179.501,32017.96,81.31,70.01,5518057
Slovenia,SVN,Europe,179.803,42098.86,101.46,60.39,2118394
Sweden,SWE,Europe,179.737,59587.03,112.8,68.35,10551493
Eswatini,SWZ,Africa,168.132,8962.91,58.78,22.38,1230507
Seychelles,SYC,Other,174.216,22412.63,104.34,70.69,127961
Syria,SYR,Other,170.428,7125.7,70.56,16.23,23594623
Thailand,THA,Asia,169.162,23029.14,68.63,24.48,71702436
Tajikistan,TJK,Asia,171.264,4843.07,83.14,32.92,10389807
Turkmenistan,TKM,Asia,171.97,24502.37,104.65,51.16,7364437
Trinidad and Tobago,TTO,North America,173.735,28163.31,87.44,65.74,1502938
Tunisia,TUN,Africa,173.951,12111.63,105.05,30.93,12200434
Turkey,TUR,Asia,174.21,35773.6,119.68,49.37,87270502
Taiwan,TWN,Asia,174.521,61942.03,98.77,91.5,23317145
Tanzania,TZA,Africa,164.8,3558.07,60.46,12.17,66617607
Uganda,UGA,Africa,165.625,3005.6,56.43,10.85,48656606
Ukraine,UKR,Europe,178.457,16431.53,90.53,49.45,37732833
Uruguay,URY,South America,173.432,26743.03,104.53,69.3,3388083
United States,USA,North America,177.13,72886.85,123.1,122.06,343477330
Uzbekistan,UZB,Asia,169.385,9793.71,111.42,47.36,35652311
Saint Vincent and the Grenadines,VCT,North America,172.779,16246.28,114.01,118.46,101331
Vietnam,VNM,Asia,164.446,13055.45,102.2,60.48,100352189
Yemen,YEM,Asia,159.887,855.03,45.0,13.72,39390800
South Africa,ZAF,Africa,166.678,12619.92,79.18,58.27,63212386
Zambia,ZMB,Africa,166.517,3431.47,48.26,17.63,20723967
Zimbabwe,ZWE,Africa,168.586,3092.92,69.11,57.58,16340829
